product_name,description,manufacturer
"GE Entertainment Death Note Plush Toy - 7"" Ryuk (GE-7050)","This Death Note Ryuk plush toy is an official, licensed product made by GE Entertainment. GE Entertainment Death Note plush toys are high-quality, well-made, and safe products. This item measures approximately 7 inches along the longest dimension. The UPC for this product is 699858970506.",GE Entertainment
Manhattan Toy Finger Puppet Box Set A Day at The Castle,"Product Description A wonderful gift, this royal troupe of playmates includes knight, princess, prince and dragon. They come packed in their own special gift box. Puppets measure 7.5cm. Manufacturer's Description A wonderful gift, this royal troupe of playmates includes knight, princess, prince and dragon. They come packed in their own special gift box. See all Product Description",Manhattan Toy
"Pokemon Plush Toy - Eevee Doll (Size L Large) Around 30cm 12"" + Pokemon Sticker",Eevee Doll (Size L Large) x 1 + Pokemon Sticker x 1,Yao
Bashful Black and Cream Puppy Dog Soft Toy - 31cm - by Jellycat,"<font size=""4"">Little Jellycat </font> <font size=""4"">Bashful Blackand#160;andamp; Cream Puppy Medium </font> <font size=""4"">31cm </font> <font size=""4"">This adorable Bashful Puppy is everything you would expect from Jellycat. With supersoft white fur, black ears and tail and patches of black fur on his body and eye his adorable cuteness is hard to resist. Your child willl want to cuddle up and play for hours. A snuggle friend your child will treasure for years to come. </font> <font size=""4"">Jellycat, established in London in 1999, is one of the worldand#39;s leading luxury soft toy companies, fast becoming a lifestyle company. </font> <font size=""4""> </font> <font size=""4"">They are heavily influenced by the fast changing world of fashion and as a result of this they introduce hundreds of new, innovative and original designs each year. </font>",Jelly Cat
Webkinz Prairie Dog Plush Toy with Sealed Adoption Code,"Product Description Webkinz pets are lovable plush pets that each come with a unique Secret Code. With it, you enter Webkinz World where you care for your virtual pet, answer trivia, earn KinzCash, and play the best kids games on the net! So what makes them special? -With all Webkinz inside each unopened tag is a unique code. This code can be used on the Official Webkinz Website (www.Webkinz.com) where you can adopt your Webkinz.Even though the plush toys may look the same, each code even with the same species means that the character adopted may have a totally different personality in Webkinz world! What else is there on the website? - Today's Activities The place to find fun daily and hourly activities. It changes every day, so kids learn to keep a sharp eye on it! Giveaways, Wacky's Bingoz and other once-a-day events let kids earn more treats and KinzCash There's also hourly events, designed around the after-school and after-homework hours My Room Every pet gets their own room in Webkinz World. Kids can decorate each room with colourful and fun furnishings from the W Shop. Earn more Kinzcash by playing the various games to add on more rooms and yards, so pets can play outdoors. Stoves and fridges work, so meals can be cooked and stored--even the plumbing works! Kids can set their imaginations free, and create crazy rooms for their favourite pets! Box Contains 1 x Webkinz Prairie Dog Plush Toy",Webkinz
Snoopy - Woodstock Small Soft Toy In Gift Bag,The adorable Woodstock in an Original Snoopy carrier bag. Soft toy Size approx: 17cm (6.5ins) Surface Washable.,Snoopy
Cuddly Soft Spinosaurus Dinosaur Soft Toy Gift 43cm,,Ravensden
Webkinz Jack Russell Dog Plush Toy with Sealed Adoption Code,"Product Description Webkinz pets are lovable plush pets that each come with a unique Secret Code. With it, you enter Webkinz World where you care for your virtual pet, answer trivia, earn KinzCash, and play the best kids games on the net! So what makes them special? -With all Webkinz inside each unopened tag is a unique code. This code can be used on the Official Webkinz Website (www.Webkinz.com) where you can adopt your Webkinz.Even though the plush toys may look the same, each code even with the same species means that the character adopted may have a totally different personality in Webkinz world! What else is there on the website? - Today's Activities The place to find fun daily and hourly activities. It changes every day, so kids learn to keep a sharp eye on it! Giveaways, Wacky's Bingoz and other once-a-day events let kids earn more treats and KinzCash There's also hourly events, designed around the after-school and after-homework hours My Room Every pet gets their own room in Webkinz World. Kids can decorate each room with colourful and fun furnishings from the W Shop. Earn more Kinzcash by playing the various games to add on more rooms and yards, so pets can play outdoors. Stoves and fridges work, so meals can be cooked and stored--even the plumbing works! Kids can set their imaginations free, and create crazy rooms for their favourite pets! Box Contains 1 x Webkinz Jack Russell Dog Plush Toy",Webkinz
Pluto Sleepy Pluto Plush Toy,Product Description Zzzzz! Get ready for a nap with Sleepy Pluto. Lay him on his side and listen to him snore. Sit him up and he will wake up with a yawn. Box Contains 1 x Sleepy Pluto,Pluto
"Teddy Bear with doberman, pet, dog image t-shirt",18 cm (7 inch) tall soft teddy bear with personalized white t-shirt.BUYER'S INFORMATIONNot suitable for Children under 3!This item does not contain toxic material.Cleaning: use warm water.Country of origin: China,Shopzeus
